InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,TotalSales,Month
221958,SKU_1964,White Mug,38,2020-01-01 00:00:00,1.71,37039.0,Australia,0.47,Bank Transfer,10.79,Apparel,In-store,Not Returned,UPS,London,Medium,64.98,1
771155,SKU_1241,White Mug,18,2020-01-01 01:00:00,41.25,19144.0,Spain,0.19,paypall,9.51,Electronics,Online,Not Returned,UPS,Rome,Medium,742.5,1
231932,SKU_1501,Headphones,49,2020-01-01 02:00:00,29.11,50472.0,Germany,0.35,Bank Transfer,23.03,Electronics,Online,Returned,UPS,Berlin,High,1426.3899999999999,1
465838,SKU_1760,Desk Lamp,14,2020-01-01 03:00:00,76.68,96586.0,Netherlands,0.14,paypall,11.08,Accessories,Online,Not Returned,Royal Mail,Rome,Low,1073.52,1
359178,SKU_1386,USB Cable,-30,2020-01-01 04:00:00,-68.11,,United Kingdom,1.501433043360303,Bank Transfer,,Electronics,In-store,Not Returned,FedEx,,Medium,2043.3,1
744167,SKU_1006,Office Chair,47,2020-01-01 05:00:00,70.16,53887.0,Sweden,0.48,Credit Card,13.98,Electronics,Online,Not Returned,DHL,London,Medium,3297.52,1
210268,SKU_1087,USB Cable,25,2020-01-01 06:00:00,85.74,46567.0,Belgium,0.15,Bank Transfer,12.92,Stationery,Online,Not Returned,FedEx,Amsterdam,High,2143.5,1
832180,SKU_1597,Notebook,8,2020-01-01 07:00:00,95.65,75098.0,Norway,0.04,Bank Transfer,6.48,Electronics,In-store,Not Returned,Royal Mail,Amsterdam,Low,765.2,1
154886,SKU_1907,Wireless Mouse,19,2020-01-01 08:00:00,98.19,87950.0,Belgium,0.05,paypall,12.56,Apparel,Online,Not Returned,UPS,Berlin,High,1865.61,1
237337,SKU_1866,Headphones,40,2020-01-01 09:00:00,98.17,39718.0,Italy,0.16,Bank Transfer,7.71,Apparel,Online,Not Returned,Royal Mail,London,Low,3926.8,1
621430,SKU_1144,Notebook,49,2020-01-01 10:00:00,87.56,13030.0,United Kingdom,0.19,paypall,9.83,Stationery,In-store,Returned,UPS,Paris,Medium,4290.4400000000005,1
187498,SKU_1450,Office Chair,41,2020-01-01 11:00:00,59.51,32466.0,Australia,0.39,Bank Transfer,12.0,Furniture,In-store,Not Returned,FedEx,Amsterdam,Low,2439.91,1
999159,SKU_1330,Blue Pen,41,2020-01-01 12:00:00,25.59,89794.0,Australia,0.01,Credit Card,15.58,Electronics,In-store,Not Returned,FedEx,Berlin,Medium,1049.19,1
275203,SKU_1709,Headphones,3,2020-01-01 13:00:00,2.09,97817.0,Spain,0.47,Credit Card,19.22,Stationery,Online,Not Returned,Royal Mail,Paris,Low,6.27,1
291335,SKU_1874,Wall Clock,29,2020-01-01 14:00:00,35.88,43017.0,Portugal,0.06,Credit Card,14.85,Electronics,Online,Not Returned,Royal Mail,Amsterdam,High,1040.52,1
378167,SKU_1163,T-shirt,16,2020-01-01 15:00:00,82.58,85852.0,Belgium,0.41,Bank Transfer,27.02,Furniture,In-store,Not Returned,UPS,Amsterdam,High,1321.28,1
141090,SKU_1656,Office Chair,7,2020-01-01 16:00:00,70.85,15473.0,Germany,0.0,Bank Transfer,23.66,Apparel,In-store,Not Returned,FedEx,Paris,High,495.94999999999993,1
429365,SKU_1341,Headphones,49,2020-01-01 17:00:00,14.91,55644.0,Netherlands,0.36,Bank Transfer,5.32,Stationery,Online,Not Returned,Royal Mail,Paris,Medium,730.59,1
164820,SKU_1000,Backpack,21,2020-01-01 18:00:00,1.07,20566.0,Sweden,0.49,Bank Transfer,15.09,Accessories,Online,Not Returned,FedEx,London,Medium,22.470000000000002,1
887201,SKU_1119,USB Cable,46,2020-01-01 19:00:00,27.03,19819.0,Spain,0.26,Credit Card,23.8,Furniture,In-store,Returned,UPS,London,Medium,1243.38,1
421879,SKU_1578,Wall Clock,43,2020-01-01 20:00:00,77.17,24716.0,Norway,0.3,Bank Transfer,24.77,Accessories,In-store,Returned,FedEx,Berlin,Low,3318.31,1
818315,SKU_1463,Notebook,14,2020-01-01 21:00:00,66.89,16604.0,Norway,0.42,paypall,15.05,Furniture,Online,Not Returned,FedEx,Berlin,High,936.46,1
427069,SKU_1866,Wireless Mouse,39,2020-01-01 22:00:00,66.18,45103.0,Sweden,0.07,Bank Transfer,27.02,Accessories,Online,Not Returned,Royal Mail,Paris,High,2581.0200000000004,1
876997,SKU_1461,T-shirt,24,2020-01-01 23:00:00,70.01,14803.0,Norway,0.12,Credit Card,13.16,Stationery,Online,Not Returned,Royal Mail,Paris,Low,1680.2400000000002,1
299041,SKU_1048,T-shirt,48,2020-01-02 00:00:00,27.87,26772.0,France,0.24,Bank Transfer,19.61,Electronics,Online,Not Returned,UPS,Berlin,Low,1337.76,1
891743,SKU_1818,Blue Pen,30,2020-01-02 01:00:00,59.53,62114.0,Germany,0.25,paypall,23.67,Stationery,Online,Not Returned,DHL,Rome,Low,1785.9,1
203355,SKU_1326,USB Cable,33,2020-01-02 02:00:00,97.96,38576.0,Italy,0.23,Bank Transfer,7.25,Stationery,Online,Not Returned,Royal Mail,Paris,High,3232.68,1
335796,SKU_1473,Wall Clock,22,2020-01-02 03:00:00,28.73,60532.0,Netherlands,0.25,Credit Card,8.44,Apparel,Online,Not Returned,FedEx,Rome,Medium,632.0600000000001,1
314176,SKU_1887,Office Chair,10,2020-01-02 04:00:00,86.71,47802.0,Australia,0.36,Credit Card,16.86,Furniture,Online,Not Returned,DHL,Amsterdam,Low,867.0999999999999,1
284779,SKU_1938,USB Cable,11,2020-01-02 05:00:00,90.69,98066.0,United States,0.39,Credit Card,25.31,Furniture,Online,Not Returned,DHL,Amsterdam,Medium,997.5899999999999,1
447449,SKU_1367,White Mug,15,2020-01-02 06:00:00,40.36,83531.0,Portugal,0.03,Credit Card,6.14,Stationery,In-store,Not Returned,Royal Mail,Rome,High,605.4,1
521909,SKU_1286,White Mug,48,2020-01-02 07:00:00,8.39,59307.0,Netherlands,0.08,Bank Transfer,15.29,Electronics,In-store,Not Returned,Royal Mail,Amsterdam,Medium,402.72,1
358795,SKU_1023,Headphones,30,2020-01-02 08:00:00,99.31,61358.0,United Kingdom,0.31,Credit Card,22.31,Accessories,Online,Not Returned,Royal Mail,Berlin,Medium,2979.3,1
586232,SKU_1722,Wall Clock,14,2020-01-02 09:00:00,10.32,54696.0,France,0.01,Credit Card,28.9,Stationery,In-store,Returned,DHL,Rome,Low,144.48000000000002,1
600186,SKU_1292,Headphones,32,2020-01-02 10:00:00,82.94,26741.0,Netherlands,0.15,Credit Card,28.6,Electronics,Online,Not Returned,UPS,Amsterdam,High,2654.08,1
256730,SKU_1448,T-shirt,26,2020-01-02 11:00:00,35.39,28203.0,Australia,0.02,Bank Transfer,21.07,Stationery,In-store,Not Returned,DHL,Rome,Medium,920.14,1
970910,SKU_1984,Backpack,21,2020-01-02 12:00:00,61.34,87631.0,Belgium,0.24,Bank Transfer,9.39,Furniture,In-store,Not Returned,DHL,London,Low,1288.14,1
484681,SKU_1062,Desk Lamp,5,2020-01-02 13:00:00,30.77,41311.0,Spain,0.31,paypall,15.27,Stationery,In-store,Not Returned,DHL,Amsterdam,Low,153.85,1
249503,SKU_1567,Wireless Mouse,47,2020-01-02 14:00:00,38.11,52219.0,France,0.27,paypall,25.15,Stationery,In-store,Not Returned,UPS,Paris,Medium,1791.17,1
754811,SKU_1457,T-shirt,12,2020-01-02 15:00:00,29.06,30037.0,Portugal,0.15,paypall,12.84,Stationery,Online,Not Returned,UPS,London,Low,348.71999999999997,1
627035,SKU_1529,Notebook,29,2020-01-02 16:00:00,21.32,40568.0,Spain,0.16,Credit Card,10.88,Furniture,In-store,Not Returned,UPS,Paris,Low,618.28,1
748143,SKU_1873,Blue Pen,21,2020-01-02 17:00:00,36.85,89341.0,Australia,0.15,paypall,28.34,Electronics,In-store,Not Returned,UPS,Berlin,Low,773.85,1
552366,SKU_1960,Backpack,25,2020-01-02 18:00:00,86.68,69201.0,Australia,0.02,Bank Transfer,23.35,Accessories,In-store,Not Returned,Royal Mail,Berlin,Medium,2167.0,1
